,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
20,missing german perfection,Seat 4D: not much worked. How to switch on and off light? Switch on monitor? Even the very ! friendly staff managed only sometimes. Food so la la. Nothing extraordinary, Oct 5,19-Sep,"Toulon, France",Marseille - Vancouver,Business Class,59,3
21,Lufthansa Flight from London to Munich,"Great, quick flight - the flight staff was kind and helpful. Everything was very smooth. I would definitely fly Lufthansa again.", Oct 5,19-Sep,"Columbus, Georgia",London - Munich,Economy,4,4
22,"No issues with flight, Airport had nothing open","Early flight and nothing open in Munich airport. This is annoying as generally nothing open in the hotel either  Flight on time, snack served and good staff", Oct 5,19-Sep,"The Royal Town of Sutton Coldfield, United Kingdom",Munich - Birmingham,Economy,"2,609",4
23,Always a good airline,Good Lufthansa flight with snack and drink. On to time with friendly staff. Comfortable cabin every time, Oct 5,19-Sep,"The Royal Town of Sutton Coldfield, United Kingdom",Birmingham - Munich,Economy,"2,609",4
24,Forgotten laptop in lufthansa plane was not found,"I flew from Riga to Frankfurt in september 2019 and I worked on my mac in the plane. As the flight was early in the morning at 6 am,I was tired and I put the laptop in front of me where they store journals. As the laptop was silver and the chairs are grey,I did not realized that‚", Oct 5,19-Sep,,Riga - Frankfurt,Economy,1,2
25,Good as usual,Lufthansa is always a good and efficient choice. Crew were always attentive. Inflight entertainment was ok but not great and dinner steak was over cooked‚Äînot awful but could have been better. Breakfast was very good and the crew and efficiency were big features. Like flying with‚, Oct 5,19-Oct,"Vancouver, Canada",Vancouver - Venice,Business Class,63,4
26,long flight ‚úàÔ∏è ,"this is the first time i fly Lufthansa. I am the last one passenger on the flight.  1. Staff very nice, she came to me say ‚Äúwelcome on board and thank you fly with them‚Äù.  2. because i‚Äôm departed from Thailand so i tried Thai food for dinner and western food for breakfast.‚", Oct 4,19-Oct,"New York City, New York",Bangkok - Frankfurt,Business Class,64,4
27,Good airline but avoid Frankfurt Airport international flights,"Avoid Frankfurt Airport.  The security is the slowest in the world.  It isn't some kind of German style or heightened security issues - Munich airport security is fast and efficient.    Lufthansa is a fine airline.  Better than most, though you can do better in business class. ‚", Oct 4,19-Oct,,Belgrade - Washington DC,Premium Economy,10,3
28,It Really Wasn't Necessary,"Overall, I'm happy with Lufthansa.  Most flights are great (Business and Economy).  However, on this one flight, my daughter wanted more water and so we called the flight attendant and asked for more.  She tersely informed us we could get up and go back to where the attendants‚", Oct 4,19-Oct,"Saint Louis, Missouri",Nice - Munich,Economy,58,4
29,Avoid Economy Seats In Lufthansa A-350's!,"Flying back to D.C. from, Venice, our best option appeared to be LH 0414 from Munich. I was wary, however, of the flight's duration and sought to improve our seating to Economy Plus. Strangely, the LH website would not show a full seat diagram for the flight, and would not let‚", Oct 4,19-Sep,"Washington DC, District of Columbia",Munich - Washington DC,Economy,2,2
30,Not Too Satisfied,I've travelled with Lufthansa on a number of occasions and had not really had any major issues relating to their services.   The crew aboard almost every flight provided excellent customer service. The only setback was having to buy a new ticket when I missed a connecting flight‚, Oct 4,19-Apr,South Africa,Berlin - Brussels,Economy,4,4
31,PE Product beats Singapore,"Flew MAN-FRA-HKG (A340-600) then HKG-MUC-MAN (A380-800) in PE. Both flights were fully booked. The seats were comfortable with a good quality basic amenity kit, pillow and blanket. However the quality of the service was what set them apart. Cabin crew were attentive and‚", Oct 4,19-Oct,"Chester, United Kingdom",Manchester - Hong Kong,Premium Economy,240,5
32,First time flying with Lufthansa,"I flew from Vancouver to Bari,Italy, via Munich, with Lufthansa in September 2019.  For a rather long flight, it was relatively comfortable, with decent food and beverage service.  The flight was smooth and really no complaints.", Oct 3,19-Sep,"North Vancouver, British Columbia, Canada",Vancouver - Bari,Economy,70,4
33,"It‚Äôs good, but not outstanding","Recently flew Lufthansa business for the first time from Munich to Singapore on an Austrian Airlines return ticket. Overall, it was good, but nowhere near the class and quality of Singapore Airlines which I returned to Perth on. The Lufthansa business class 2-2-2 cabin‚", Oct 3,19-Sep,"Perth, Australia",Munich - Singapore,Business Class,15,3
34,Decent early morning short flight,"Decent Airbus A321. Interior was clean as this was the first flight of the day (departure at 6:00 a.m.).   Departure on time. Flight crew was efficient for this very short flight.  Drink service was somewhat limited, but that‚Äôs normal for a short hop like this one.  Flight‚", Oct 3,19-Aug,"Austin, Texas",Prague - Frankfurt,Economy,"3,261",4
35,The worst hand luggage policy on the planet,Lufthansa has recently introduced a very restrictive hand luggage policy with a weight limit of 8 kg and smaller than usual carry-on suitcase size (by comparison British Airways carry on weight limit is 23kg and easyJet is unspecified as long as it fits into the overhead‚, Oct 3,19-Sep,,London - Frankfurt,Economy,2,1
36,Very nice flight,"Very nice flight attendants, smooth ride, attention to my wine requirements - overall a very nice flight.", Oct 3,19-Sep,"Oakland Park, Florida",Miami - Frankfurt,Economy,35,5
37,Reliable Lufthansa is our favorite from Denver to Europe,"Being able to get from Denver to Frankfurt on one beautiful flight makes all the difference!  From FRA, you can get most anywhere in one stop.  Lufthansa also flies direct to Munich most of the year.", Oct 3,19-Aug,"Denver, Colorado",Lyon - Denver,Economy,359,5
38,Travelled Europe like beggars on honeymoon. Checkin baggage not received.,"I went to Europe for honeymoon of 15 days euro trip.I landed Paris on 28/09/2019 by Lufthansa LH1040 from Frankfurt to CDG.My checked in baggage didn't arrived at CDG airport. For bag claim, I filled the form at airport for baggage claim with Lufthansa & got a receipt with file‚", Oct 3,19-Sep,"Ridgeland, Mississippi",Frankfurt - Paris,Economy,23,1
39,Excellent Service,We flew from New York to New Delhi via Frankfurt where we had a 7 hour layover. I have flown Lufthansa many times but this time I saw vast improvement. They were the best flight experiences we have in a very long time. The check in experience was good and the boarding seamless‚, Oct 3,19-Oct,"Gurugram (Gurgaon), India",New York City - New Delhi,Business Class,254,5
40,Flug nach Chennai,"Premium Economy Flight from Germany towards India. Top service, no delays, friendly staff. I personally will fly with Lufthansa again next time.", Oct 3,19-Sep,"Merzig, Germany",Frankfurt - Chennai (Madras),Premium Economy,26,5
41,Among the best,"A320 series on short and medium haul. Even though the cabin is just a few centimetres wider than 737s, it makes a big difference.", Oct 3,19-Sep,"Oslo, Norway",Oslo - Munich,Premium Economy,148,5
42,Luggage lost with no answers,The flight from Frankfurt to Munich is very short.  Our luggage did not get in the plane and we checked in 2 hours prior as we took a train to Frankfurt.  We stood in line to report it lost for over an hour.  (45 minute flight). We did get a tracking number to check a status‚, Oct 2,19-Oct,,Frankfurt - Munich,Economy,5,1
43,Flight Quality,The flight was a short hop of approximately one hour. Cost - Very Competitive Ground Staff - Excellent Flight Team - Competent and Very Pleasant Catering - Cake and Variety of Drinks Offered Flight Punctuality - Arrival on Time  Highly Recommended, Oct 2,19-Sep,"Hanau, Germany",Frankfurt - Birmingham,Economy,14,5
44,Worst business class I flew in,I never flew so tight than I did on this A321 going to Frankfurt. Looked like a revamped economy class with as the upgrade not having anyone seating on my side. Highly disappointing more so that it was the 5:30am flight and absolutely no way I could possibly put my head down‚, Oct 2,19-Oct,"Lisbon, Portugal",Prague - Frankfurt,Business Class,3,1
45,Agreeably Surprising!,"Originally was an Air Canada flight (9099) operated by Lufthansa. We had a Lufthansa plane (which offer more leg room, cleaner, nice headset). The service at the airport was very nice, as well as on board. The food was good. We arrived on time in Montreal. We were happy to fly‚", Oct 2,19-Sep,"Laval, Canada",Munich - Montreal,Economy,77,5
46,Flight from Dublin,"Friendly staff, and plenty of room. Refreshments were served promptly , plane took off and landed on time", Oct 2,19-Sep,"Birr, Ireland",Dublin - Sarajevo,Economy,13,5
47,Pleasent flight and nice crew,"We went on 4 flights going back and forth to NYC, each of them were fine, pleasent and the crew were kind and attentive. Take off on time. Arrival on time. Perfect..!", Oct 2,19-Sep,"Lunderskov, Denmark",Billund - New York City,Economy,4,4
48,I‚Äôm disappointed Lufthansa!,"Had delays from Budapest ( related to cargo loading), had to change terminals in Munich on the run (and we are 64! Too old to do an OJ!).  Damned if it didn‚Äôt happen again on the return, racing through Munich airport because the equipment was late arriving in Dublin, BUT, while‚", Oct 2,19-Oct,"Budapest, Hungary",Budapest - Dublin,Economy,98,3
49,Flying to Ireland,"This was a holiday trip. We (I went with my wife) chose to fly from Budapest to Dublin via Munich with Lufthansa, because at the time we booked, this option was even cheaper than Budapest - Dublin direct flights with Ryanair. By the way Trip advisor is out of date: they use the‚", Oct 2,19-Aug,,Budapest - Dublin,Economy,9,5
50,Horrid customer support; unethical corporate approach,Allowed to check in via Adria for three flights purchased via Lufthansa. Received boarding passes. No warning that all flights on Adria were cancelled until 2 hours before flight was to depart. Resulted in loss of two additional connecting flights. Had to pay for shuttle to‚, Oct 2,19-Sep,"San Diego, California",Ljubljana - San Diego,Economy,141,1
51,"Late, Rude, and Incompetent","They were late to start the previous flight.  They take very long to board and you have to take a bus to the actual plane everytime. Employees are rude snarky beeches who hate life, what do you expect.  They make no effort to make connecting flights an easy process.  You will‚", Oct 2,19-Sep,,Athens - Houston,Economy,1,1
52,Very comfortable and pleasant flight,"Pleasant flight,Takeoff and landing went smoothly  spacious seats, courteous service The flight attendants were very kind", Oct 2,19-Sep,"Rishon Lezion, Israel",Tel Aviv - Frankfurt,Economy,84,4
53,Disgusting Lack of Customer Service,"Lufthansa sold us flights with a connection in Frankfurt which was ridiculously tight at best even if everything goes to plan. Unfortunately for us things didn't go to plan first our flight arrived at Frankfurt 15 minutes late ( in terminal B, a marathon sprint across an‚", Oct 2,19-Aug,"Newport, United Kingdom",London - Valletta,Economy,64,1
54,Flight to Delhi,"Very well looked after. Excellent service. A Gluten option had been asked  and was provided as requested. Did not have to re request as this was already in the system for the return flight. Comfortable seating, menus and general ambience. Will definitely fly with them again.", Oct 2,19-Oct,,London - New Delhi,Premium Economy,4,5
55,"A good choice for overseas flights, but avoid some rows for seating",I recently flew from LAX to Munich on Lufthansa flight 453.  Its a nice large plane which also means relatively little turbulence compared to other aircrafts. The Lufthansa crew is always good. The only real problem was that I had the bad luck to have a seat on row  62 (seat 62E‚, Oct 1,19-Sep,"Tucson, Arizona",Los Angeles - Munich,Economy,104,4
56,Very good Business Class,"Very comfortable seats that, of course reclined fully. Seating in the cabin was 2, 2, 2 so very spacious. Very good service, good food, and compared with British Airways (which we use frequently) much much better. Highly recommend.", Oct 1,19-Sep,"Buffalo, New York",Toronto - Munich,Business Class,61,5
57,4 flights on trip from Warsaw to SF and return from LAX - on the button from every angle!,All flights were on time and smooth. Flight crew were so nice and friendly. I do not expect Michelin rated food in economy but it was very good on both long haul flights. First experience on Airbus A380 and was able to organise upper deck seats for the return which I recommend.‚, Oct 1,19-Aug,"Warsaw, Poland",Warsaw - San Francisco,Economy,122,5
58,A Marathon ‚Äòin every sense‚Äô !,"Having had a fantastic family weekend running the BMW Berlin Marathon it turned into a absolute disaster thanks to Lufthansa. A delayed flight, missed connection then a cancelled flight one hour prior to departure caused personal triumph to turn into a totally miserable,‚", Oct 1,19-Oct,,Manchester - Berlin,Economy,1,1
59,Lufthansa Flight #401 JFK-MXP,"Traveling on Lufthansa Airlines is always a treat for my wife and I.  This time at JFK, we spent some time in the Lufthansa Business Class Lounge.  This is a wonderful way to start your vacation.  Lufthansa #401 pushed back on time and we arrived n Frankfurt ahead on schedule. ‚", Oct 1,19-Sep,,New York City - Milan,Economy,6,5
60,"Flight on time, excellent helpful staff","We've flown before with Lufthansa and this flight was every bit as good. The staff were professional, plane comfortable and the flights on time. Excellent. Unlike many other airlines Lufthansa also serve a snack on short flights.", Oct 1,19-Sep,"Wakefield, United Kingdom",Manchester - Munich,Economy,8,5
61,Service good but.......,Service good as always but the seats are too small and close together especially when yo are in the middle seat like I was!!, Oct 1,19-Oct,,Bucharest - Orlando,Economy,6,3
62,THIS IS NOT A 4 STAR AIRLINE!!! THEY ARE A 3 AT BEST.,"Lost luggage, rude flight attendants, horrible customer service when it comes to mileage (they do not add them to your account and the system is not user friendly.)  Subpar entertainment.  Food is Ok, not great.  I've had better.", Oct 1,19-Sep,New York,Newark - Vienna,Economy,108,3
63,Our trip to Italy,Lufthansa operates on time. The staff works well and are all pretty nice. The problem is with the call center outside the USA. Everything is done my cell phone or computer. You can't get a live person to talk to. This will be my last trip on this airline., Oct 1,NA,"Indian Lake, New York",New York City - Venice,Economy,308,3
64,Flight was excellent.  Service Superb BUT they lost all of our luggage at the Frankfurt Airport!,"We had been away in Italy for an entire month, so literally, almost everything we owned was packed into our two large suitcases.  We flew Business Class and paid a fortune for our tickets.  We have been writing, calling, filling out paperwork, etc. and STILL NO RESPONSE FROM‚", Oct 1,19-Sep,,Florence - Philadelphia,Business Class,4,4
65,Lufthansa Will Eventually Lose Your Luggage,"Until now, I have been a consistent flyer on Lufthansa.  I've never had an issue, and I thought the service exceeded most other airlines.  Recently, however, Lufthansa agents in Prague failed to route my checked-in luggage to my final destination (Dulles), so my baggage became‚", Oct 1,19-Sep,"Dallas, Texas",Frankfurt - Washington DC,Economy,3,1
66,Too many problems with airline.,Srikes and problems with Frankfurt airport. It's been 3 days and still no luggage. No information on when will be received. Terrible airline. Very unreliable., Oct 1,19-Sep,"Irvine, United States",Los Angeles - Addis Ababa,Business Class,3,1
67,Flight from Frankfurt to Bengaluru,"I'm patronizing Lufthansa as a loyal customer for many years and in the past three consecutive years, irrespective of the discomforts and issues being faced, since I treat this as a marriage.   This time, everything went very smooth. The two wheel chair passengers who couldn't‚", Oct 1,19-Sep,"Bengaluru, India",Frankfurt - Bengaluru,Business Class,166,4
68,Appalling service,"Flew business class MCR FRA BOG on 28/9, flight was good but announcement came 30 mins from arrival that they had departed with 80 out of 430 bags loaded. They knowingly made a flight to South America without informing customers or considering delaying the flight. No Lufthansa‚", Sep 2019,19-Sep,,Frankfurt - Bogota,Business Class,2,1
69,Poor service and a dirty plane,"Airbus A330-300- dirty and stained interior. For example, we found food and drink stains all over the back of the seats and arm rests. We learned from our prior Lufthansa flights to carry disinfecting wipes to clean our area.   Departure: we departed about 15 minutes late.‚", Sep 2019,19-Aug,"Austin, Texas",Frankfurt - Austin,Economy,"3,261",2
70,Small flight,"The flight was small not comfortable sites, no entertainment, food quality was not good, at the end crew was nice", Sep 2019,19-Aug,"Cairo, Egypt",Cairo - Frankfurt,Economy,19,3
71,Good food and drink,"I book this flight using Skyscanner for the price. I was thrilled with the value. And the food was very good, the drinks were free although I recommend the beer more than the wine. The flight attendants were pleasant and helpful although not overly solicitous.", Sep 2019,19-Sep,"Leesburg, Virginia",Washington DC - Oslo,Economy,60,4
72,A pleasant surprise,"Pleasant lounge, friendly flight attendants, comfortable seats, good food, overall a positive experience.  Although there were issues beyond his control, the Captain/co-Captain kept us informed on the flight status and tried his best to make up time.  The crew worked well‚", Sep 2019,19-Sep,"Hanover, Canada",Munich - Toronto,Business Class,6,5
73,Lousy customer service,"I don't understand how but Lufthansa managed to fly a whole plane full of passengers from Frankfurt to Florence with no bags.   All of us on the flight waited at baggage claim in Florence for 45 minutes, then was told that the bags were not there.   The whole flight had to file‚", Sep 2019,19-Sep,,Frankfurt - Florence,Economy,1,1
74,Four different rows of seats for a Family! What a shame!,"We travelled back to Munich am 6.09.2019 and we automatically checked in in the night before. Surpisingly we had a row 9,10, 27 and 32. My Place was 32-D. It didnt even had a window! The children seated separately as well. For that money - over 200 euro pro person  - such a bad‚", Sep 2019,19-Sep,,Palma de Mallorca - Munich,Economy,58,3
75,LUFTHANSA LOST ENTIRE FLIGHTS BAGS!,"First time to Europe First time flying Lufthansa. Family vacation 14 people. On Friday September 27th 2019 I left Toronto, Canada connecting to Frankfurt with the final destination being Nuremberg, Germany. Upon arriving in Nuremberg the entire flight LH144 was informed that due‚", Sep 2019,19-Sep,,Toronto - Frankfurt,Economy,1,1
76,Premium Economy is awesome with A380,I hardly recommend to spend a few more on the ticket price to get this awesome service in the premium economy within a A380. Lots of space and you will arrive at destination absolutely relaxed., Sep 2019,18-Nov,"Zurich, Switzerland",New York City - Frankfurt,Premium Economy,49,5
77,An amazing flight,"Even though the seats are not the best in economy class, the service and the air hostess were great. It was a long flight from Munich to Denver 9 and a half hours. We were able to watch movies and they gave us two complete hot meals plus some snacks. I have to mention specially‚", Sep 2019,19-Sep,,Frankfurt - Denver,Economy,20,5
78,Would Recommend,Flight departure was delayed about 45 minutes due to problems with the sanitary system. We arrived at our destination about 30 minutes late. This did not affect us as we had no connecting flights. Our ride kept abreast of things and knew of our late arrival. Otherwise all was‚, Sep 2019,NA,"Milford, Massachusetts",Boston - Munich,Economy,181,5
79,Awesome flight with good service!,"Deutsche Lufthansa AG, commonly known as Lufthansa, is the largest German airline which, when combined with its subsidiaries, is also the largest airline in Europe in terms of passengers carried. The name of the company is derived from the German word Luft meaning ""air"" and‚", Sep 2019,19-Sep,"Ocoee, Florida",Orlando - Frankfurt,Economy,"2,521",4
80,Just so so,"I was disappointed that the seats were so hard. There was a button to increase or decrease the softness, but it really did nothing. When I have flown business class with other airlines, the seats are ""pod like."" There was nothing to separate you from your neighbor except the arm‚", Sep 2019,19-Sep,"Driftwood, Texas",Houston - Nairobi,Business Class,118,3
81,Business Class Upstairs 747,"If you haven't treated yourself to this flight in upstairs business class level, please schedule yourself soonest.  Worth it!  Their people make the difference!", Sep 2019,19-Sep,"The Villages, Florida",Orlando - Frankfurt,Business Class,4,5
82,Comfortable,In economy comfortable seats and spacy leg. Excellent service. Excellent drinka and dinning. Everything on time. Wheelchair for my wife just on plane exit on time., Sep 2019,19-Sep,"Alexandria Governorate, Egypt",Amsterdam - Cairo,Economy,40,4
83,The worst service,I flew several time with Lufthansa and my flight was late more than one hour in most cases. I am very disappointed with their service and i will avoid them in future for sure., Sep 2019,19-Sep,,Zagreb - Munich,Business Class,1,1
84,Ever been at an airport for a business trip (to Europe) and learned you have no valid ticket?,After more than 4 million miles flown you think you have seen it all - WRONG! I changed my (pricey) business class ticket with a Lufthansa agent on the phone to 3 weeks later and accepted the $300 change fee. I received an email from Lufthansa with the new itinerary and even‚, Sep 2019,19-Aug,"Breckenridge, Colorado",Denver - Frankfurt,Business Class,372,1
85,First time with this airline in Premium Economy,"I had this flight to return to Toronto from my European holiday.   I have flown several other Star Alliance airlines with the premium economy level without issue and good results.  With LH I was expecting a similar experience but was wrong. First unknown to me, when you go to‚", Sep 2019,19-Sep,"London, Canada",Frankfurt - Toronto,Premium Economy,178,2
86,Mixed bag,"MLA-FRA on Lufthansa A320neo was a mixed experience.   Positive - Aircraft was spotless, crew courteous and not overly engaging. The seat was quite comfy and the neo was write more silent than other similar aircraft. Coffee & water offered free of charge.   Negative - Lufthansa‚", Sep 2019,19-Sep,"Island of Malta, Malta",Valletta - Frankfurt,Economy,225,3
87,Very good experience ,This time no problems with the flight. They were willing help us with the check in (which can run automatically as well) and the onboard personal were very kind as well. No entertainment during the flight but I don't need any either., Sep 2019,NA,"T√ºbingen, Germany",Dublin - Frankfurt,Economy,"1,350",5
88,Very good service - with delay,"Although the prices of Lufthansa are not higher than the low cost airlines I have to admit that they have a much better service and quality. For a 90 to 120 minute flight you receive something to eat and drink and everybody is polite. One point minus for the delay, about 30 to‚", Sep 2019,NA,"T√ºbingen, Germany",Frankfurt - Dublin,Economy,"1,350",4
89,Honeymoon disappointment,I was real disappointed to be separated from my husband for our honeymoon flight. I think this airline could have told me ahead of time that if we were unable to check in 24 hrs ahead of time that we would not be able to sit together. I would have taken a different flight, Sep 2019,19-Aug,"Madison, Wisconsin",Chicago - Bucharest,Economy,22,2
90,Very bad service,"Lost all luggage for 3 people. No information. very rude and unprepared staff.  I am a frequent traveller but changing to other airlines for same route.  Lufthansa benefits from a good publicity, but everything is PR, no substance.", Sep 2019,19-Sep,,Luxembourg - Bucharest,Economy,2,1
91,Excellent service in business class.,"Lufthansa and United are the two airlines that fly direct from Denver to Munich or Frankfurt.  Given a choice I always take Lufthansa.  We use our miles for business class. Their lounges are clean, with good food, sleeping rooms, where they provide blankets.  After dinner or‚", Sep 2019,19-May,"Denver, Colorado",Munich - Denver,Business Class,153,4
92,"Adequately comfortable, horrendous food","First try at Lufthansa‚Äôs Premium economy and it was not bad. The seats are fairly comfortable. The main issue with the recline is that tge seat reclines just to the point that the angle creates increased pressure on the lumbar spine so if you have back problems, and can afford‚", Sep 2019,19-Sep,"El Cerrito, California",San Francisco - Rome,Premium Economy,35,4
93,"Convenient route, great crew, all else average or below.","Flight time and routes were convenient. Direct from Dallas to Frankfurt then to Cairo.  Return was Amman, Frankfurt then Dallas.  If I took Delta I have to stop in Atlanta.  On the return it means I have to collect the luggage and go through customs and immigration.  With‚", Sep 2019,19-Sep,"Frisco, Texas",Dallas - Cairo,Economy,4,3
94,Business Class To Europe----Pick A Different Carrier!!!,"I am an experienced international business class traveler with platinum medallion status on Delta.  I often use Delta, Virgin Atlantic and Cathay--all of whom offer a nice business class product/service.  This trip, my tickets were not purchased by me and it was my first trip on‚", Sep 2019,19-Sep,"Naples, Florida",New York City - Frankfurt,Business Class,29,2
95,Ransom my phone back in Stockholm from Bagport,"When traveling from Copenhagen to Stockholm, I inadvertently left my phone on the Lufthansa flight, 'Bagport' charged me 300 Kroner to ransom it back.  Seriously - I thought that the lady was joking at first - no 300 Kroner ($33 USD). Another case of FEES - truly running AMUCK.", Sep 2019,19-Sep,,Copenhagen - Stockholm,Economy,2,3
96,Best company to fly with,"I'm having a senator status of Lufthansa due to all the flights I do. I try to fly always with Lufthansa, because their service is correct and efficient. Also in situations where it is going wrong (missed connection flight, cancellation ...) they always try to find a solution‚", Sep 2019,19-Sep,,Brussels - Mexico City,First Class,3,5
97,Very good but...,Lufthansa is a very good carrier and Munich is one of the best airports as a destination or transfer point.  The A350-900 series aircraft is a state-of-the-art aircraft with above-average inflight entertainment and a quiet environment.  Catering and service on this flight a cut‚, Sep 2019,19-Sep,"Saint-Lambert, Canada",Montreal - Munich,Economy,23,4
