,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
11,Never wanted to fly AA,We were booked with British Airways. It the cancelled the flight for â€œoperational reasons â€œ . Nothing to do with promised strike two days later.? Service was rushed. Day time flight turned into night presumably so that passengers did not bother the staff. But what appalled meâ, Oct 9,19-Sep,"Edinburgh, United Kingdom",London - New York City,Premium Economy,162,1
12,Do not fly with AA!,"Worst airline ever! They lost my bag and itâ€™s been almost 5 days and they canâ€™t find it... Also, we lost two of our flights because of them.", Oct 9,19-Oct,,Santa Cruz - Phoenix,Economy,1,1
13,Double Charged,"It was highly frustrating that I paid my $30 baggage fee when I checked in on the AA app to be charged this same $30 fee at the airport even though I showed them the charge went through on my bank's app. They were ""kind"" enough to give me a receipt so that I can go to my bankâ", Oct 9,NA,,San Antonio - Dallas,Premium Economy,1,1
14,American Airlines has improved!,"I flew American several times years ago when I flew every weekend.  They didnâ€™t compare to United, Continental, Southwest, Frontier or evening Delta.  I am newly impressed with how hard theyâ€™ve worked to improve in all areas of the airline business!  Will fly them more often!", Oct 9,19-Oct,"Atwater, California",Fresno - Kansas City,Economy,168,5
15,Canceled flight without reason,"On August 1, 2019, I was scheduled to fly from Newark, NJ (EWR) to Chicago Oâ€™Hare( ORD) on flight AA2598 .  A text message was sent to provide details for the terminal and gate.  Approximately an hour later, another text message was sent to indicate the flight was cancelled. â", Oct 9,19-Aug,"Somerset, United States",Newark - Chicago,First Class,4,1
16,Don't expect good service or pleasant staff and you will be ok  aim for way below average,Both ways going and returning saw a bevvy of flight staff who should have been retired or fired for rudeness- laziness and complete disinterest .. 15th July Phoenix to Philly AA460  15th July Philly to Manchester AA734 Horrid staff just awful   Aug 3rd  Philly to Phonix AA1702 â, Oct 9,19-Jul,"Palm Desert, California",Manchester - Palm Springs,Economy,42,2
17,Absolutely do not care about their passengers.,"The worst travel experience EVER!!   First, we are delayed, and then delayed, then delayed and finally after the 3rd delay, they cancelled our flight.   Now let me tell you after the first delay, I called AA, being a rewards member I asked about other flights and they absolutelyâ", Oct 9,19-Jun,,Dallas - Kansas City,Premium Economy,3,1
18,Cancelled Flight Home!,"After a long international flight from Barcelona to Chicago, we arrived tired and ready to make it thru customs and jump on our flight home to San Diego.  Alas, American had other plans for us as their text arrived just as we deplaned in Chicago.  Our flight to San Diego hadâ", Oct 9,19-Sep,"San Diego, California",Chicago - San Diego,Premium Economy,94,2
19,Typical airline travel in a cattle car.,If you canâ€™t afford first class then you know how it is going to be.  Short leg room and uncomfortable seats., Oct 9,19-Mar,"Morristown, Tennessee",Knoxville - Punta Cana,Economy,3,3
20,Took great care of us...,"We aren't ""elderly"" I don't think, but my wife has trouble walking long distances and I have just completed eight weeks of radiation therapy for prostate cancer and find myself physically wakened.   American Airlines provided us with excellent assistance with folks meeting usâ", Oct 9,NA,Oklahoma,Edinburgh - Chicago,Premium Economy,485,5
21,Great flight!,"Early morning flight.  The check in team were helpful and fast.  The attendants were very courteous,  Captain shared updates.  Loved the in flight movie options!  Very satisfied.", Oct 9,19-Oct,"Huntsville, Alabama",Nashville - Miami,Economy,2,5
22,The flight was great.  I have few complaints.,"Be aware that if you book 3rd party, They treat you differently than if you booked direct and there are some benefits they will not give you like the ability to upgrade. ", Oct 9,19-Jul,,Seattle - Fort Myers,Economy,29,5
23,Never again!,"American airlines delayed my flight and changed gates at least 4 times. The worse part was I had a connection in Charlotte, NC that I would have missed. No one said the reason for the delay. I event paid almost $600 to book a straight flight on JetBlue. Now I'm trying to getâ", Oct 9,NA,St Maarten,Orlando - New York City,Economy,44,1
24,Visit Boston and vicinity,"Travel with AA was easy, quick with early arrival. Luggage retrieval was quick and efficient. AA Staff was pleasant and helpful.", Oct 9,19-Oct,"Pleasant garden, United States",Greensboro - Boston,Economy,4,4
25,Don't get stuck in the middle,I like the way they collect the carry ons.  If you are older or have any physical problems you don't have to fight to get it up in the bin.  Plus... you don't have to wait for passengers to get all their items out., Oct 9,19-Oct,"Gulf Shores, United States",Pensacola - Philadelphia,Economy,3,4
26,An appalling experience with American Airlines,"I have recently undertaken three flights with American. Each was a disaster but the most recent one (Dubrovnik-Philadelphia-Boston) was the worst of the three, which resulted in a two-day delay in Dubrovnik because one of the pilots had cut his foot on a rock and it had goneâ", Oct 9,19-Sep,"Boston, Massachusetts",Dubrovnik - Boston,Economy,15,1
27,Business class,"We flew business class on this trip. This is a long flight and are we glad we did. The seats were spacious and we could lay down and rest, waking up ready for our adventures here in Germany! If you can , try it out!", Oct 9,19-Oct,"Oklahoma City, Oklahoma",Oklahoma City - Frankfurt,Business Class,2,5
28,Problems with International Flights,"On September 19, we flew from Philadelphia to Athens via American Airlines 758.  We flew back to Philadelphia on September 29 via American 759.  My husband had arranged for two seats towards the rear of the plane, as we both have issues that require us to be not too far from aâ", Oct 9,19-Sep,,Philadelphia - Athens,Economy,2,1
29,Great crew,"The crew was great and very helpful in every way possible, I have another flight coming up on the same carrier and i can't wait.", Oct 9,19-Oct,,Joplin - Chicago,Premium Economy,4,5
30,Went ok,"I got to see my first in flight movie. That was nice. Seats were roomy. Had hoped for lunch on flight but they were sold out before they got to row 20, but they were generous with whole can of soda and cookies/nuts or both. We made up 10 minutes extra time and all went wellâ", Oct 9,19-Oct,"Berryton, Kansas, United States",Kansas City - Dallas,Premium Economy,113,4
31,Trip to see family,"Smooth flight, Stewardess' were professional and personable, Very accomodating airline. I'm hard of hearing and wear hearing aids in both ears.  They were very helpful in ensuring I made y flight as well as aiding me in theplane", Oct 9,18-Nov,"Alexandria, Virginia",Washington DC - Columbia,Economy,3,5
32,Early arrival,I flew to Halifax from Norfolk with a connection on in Philadelphia.  This was my first time taking a flight on a Saturday with this itinerary and it was a pleasant surprise. My flight from Norfolk left on time and arrived early in Philly.  I took the inter terminal bus from Fâ, Oct 9,19-Sep,Virginia,Norfolk - Halifax,First Class,139,4
33,If you require assistance due to Medical Reasons- never fly American,"I was on the AA099 flight from London to Chicago and then from Chicago to Vegas  As soon as I came off the wheel chair and asked the lady for assistance with my bag, she said they donâ€™t do that, you need to ask a passenger to help.   Then there was a young guy in a pink bow tieâ", Oct 9,19-Oct,"Singapore, Singapore",London - Chicago,Economy,2,1
34,What a Nightmare,When leaving for our trip to Washington from Jax - we get a phone call saying our next flight out of Texas has been changed.  Not a very nice way to start your trip off.  Very tight seating., Oct 9,19-Jun,"Palm Coast, Florida",Jacksonville - Seattle,Premium Economy,41,2
35,Efficient and friendly,"The flight only took one hour but the plane was clean, the seating comfortable and the service friendly and efficient. Check in was fully automated, including the baggage process.", Oct 9,19-Sep,"Ripley, United Kingdom",Las Vegas - Los Angeles,Economy,96,4
36,Excellent!,"My daughter and I had a great experience on this flight and the return flight. The crew were helpful, the flights were as smooth as possible, the meals were tasty and our arrivals were ahead of schedule. We couldn't ask for more!", Oct 9,19-Sep,"Beaufort, South Carolina",Charlotte - London,Premium Economy,10,5
37,Never again,"Been trying to get someone to help in customer care and still canâ€™t get them Monica in Austin check in must hate her job burst my suitcase , stuff missing hope to never travel with American Airlines ever again", Oct 8,19-Aug,,Austin - New York City,Economy,12,1
38,Always a superb service,I always travel in American Airlines and Iâ€™m happy i do.  The representatives and onboard personnel always do their best to please the customers. , Oct 8,19-Mar,"Miami, Florida",Miami - Bogota,Economy,38,5
39,Great Service!,"I treated myself to first class, something I hadnâ€™t experienced in over 30 years.  It was so fabulous.  I received great service.  The food was great.  The big comfortable seat was so great.  I canâ€™t wait to fly first class again.", Oct 8,19-Sep,"Miami, Florida",Washington DC - Dallas,First Class,452,5
40,Very poor customer service,We were connecting in Phoenix going home from a trip to Mexico. We were delayed on the runway for 45 minutes as there was a problem with our gate. We then only had 30 minutes because we were delayed to reach the gate for our connecting flight after we passed through immigration.â, Oct 8,19-Aug,,Phoenix - Los Angeles,Economy,5,1
41,First class amenities worth it - service not so much,"The first class pods are well worth it.   Actually able to sleep.   The two flight attendants assigned to our area were lazy, non-accommodating and almost rude.  AA management has to learn that itâ€™s employees are how people judge the airline not the planes.", Oct 8,19-Sep,"Dubuque, Iowa",Honolulu - Dallas,First Class,54,4
42,Worst airline and always delayed or canceling flights,"Iâ€™ve flown twice with this airline but my last trip was the last for me. They were delayed, lost my luggage and also cancelled my flight. Lost my hotel deposit because of them . My vacation was cancelled and it was very frustrating. The situation was so bad that I ended upâ", Oct 8,19-Jul,"Toronto, Canada",Toronto - Maui,Economy,4,1
43,Great flight,Flight was good and very quick. Staff managed to get a drink to us all prior to the plane coming into land. Nice and clean and comfortable., Oct 8,19-Sep,"Traralgon, Australia",Las Vegas - Los Angeles,Economy,527,4
44,Spectacular,"Great flight, took off a bit late, but arrive close to being on time, service was spectacular and the seats were very good.  American Airlines is the only way to fly.", Oct 8,19-Sep,,New York City - Chicago,Economy,2,5
45,Disabled passengers be warned,"Flew into Miami airport and was supposed to have wheelchair assistance. By what a joke. First I was treated like an idiot by one employee, then the next one felt I should know all of their policies and procedures. Finally got someone to help me with a wheelchair only to beâ", Oct 8,19-Sep,"Fond du Lac, Wisconsin",Montego Bay - Miami,Economy,26,2
46,Napa Weekend ,"Headed to Napa for weekend, and when we got on the plane it was an old plane. There were no TVs of any sort if you wanted to watch a movie you had to see it on your phone or I pad. The seats were extremely uncomfortable with no cushion. The return plane was just as bad. Overall,â", Oct 8,19-Oct,"Miami, Florida",Miami - San Francisco,Economy,458,1
47,Did because I had to,This was my first experience with American because my preferred airline did not serve the times and destination that I needed. My flights were cancelled twice and I do not like being stuck outside of the country. Boarding was bizarre. As someone with an MS from an aviation basedâ, Oct 8,19-Apr,"Somers, Connecticut",Punta Cana - Hartford,Economy,35,3
48,Hurry up and Wait,"On a recent yrip to Colorado,  we booked our flights with American Airlines.  Our trip out went through Chicago - this trip was remarkably uneventful; flights were on time, baggage arrived with the flight  - all good.  The return trip was less than expected.   Our departure fromâ", Oct 8,NA,"Leitchfield, Kentucky",Louisville - Denver,Economy,195,3
49,Wheelchair/ seating service,Going to Orlando from Tallahassee via Miami was very enjoyable for me as a handicapped person.  The wheelchair people were very prompt and friendly to and from the gates.  My special service needs on the plane were very accommodating., Oct 8,19-Oct,,Tallahassee - Orlando,Economy,4,5
50,Last leg of our journey,"Last leg of our journey home.  Was American Eagle, small plane but lots of leg room.  Was an early morning flight...everybody slept.  No entertainment system on board.  Staff was very accomodating getting my wife to sit beside me, when the system automatically placed up in theâ", Oct 8,19-Sep,,Dallas - Toronto,Economy,7,5
51,FIrst time Flight on AA   Great Experience,"This was our first time flying with AA.  It was a 7hour flight and was concerned about our Air Transat experience getting to our vacation, however we were pleasantly surprised at the extra leg room and comfort of the seats...Entertainment system was great and we were surprisedâ", Oct 8,19-Sep,,Honolulu - Dallas,Economy,7,5
52,"Safe Flight, On-Time","I always find American to be a choice I can count on.   Don't get me wrong, I would love more seat room, better recliners, better food, etc...   but American flies where I want to fly, has decent prices ($308.00 round trip Dallas and arrive on-time in almost all cases in myâ", Oct 8,19-Oct,,Honolulu - Dallas,Economy,27,4
53,An Absolute bad experience,"The only thing I can say is that the gate agenta should be fired. They Are classless and absolutely worthless part of the of AA. If you enjoy be treated like trash , this is your airline.   On our flight back from Phoenix one of the flight attendants was actually nice. Hey,â", Oct 8,19-Oct,"Tyrone, Georgia",Atlanta - Phoenix,Economy,2,1
54,On time but one old plane,"Our round trip from Durango, Co.  To Spokane, Wa. Was on time both ways.  Flights were all full but everything was orderly.  Flight attendants were kind and helpful.  Only concern was that the plane from Spokane to Durango was very old and beat-up.  It flew but seats wereâ", Oct 8,19-Sep,"Mancos, Colorado",Durango - Spokane,Premium Economy,265,3
55,Flawless as usual,My friend and I took a leisure trip to Newport coast. Flew in to John Wayne from Orlando international (via Dallas) first class service was flawless as usual.  Meal selections were pre ordered online and delivered hot and on par with first class fare. Flight crew was genuinelyâ, Oct 8,NA,"Orlando, Florida",Orlando - Orange,First Class,177,5
56,Miami here we come,Overall it was ok.  Nothing to write home about. Was able to get two isle seats otherwise be seated cramp style :), Oct 8,19-Jul,"New York City, New York",New York City - Miami,Economy,3,3
57,The airline that can't be bothered with you,"Uninterested staff who took up overhead bin space and then lied and said ""its first come-first serve"" as if other passengers had taken the space. They also leave large bottles of water and juice outside the bathroom for people to serve themselves-not terribly hygienic-instead ofâ", Oct 8,19-Sep,"Denver, Colorado",Buenos Aires - New York City,Economy,10,1
58,Use caution when checking luggage with American Airline,"Use caution when checking luggage with American Airlines.  We recently had property stolen from our locked luggage after we checked it with American Airlines.  When we reported the theft to American's Central Baggage Resolution Center, the stone wall went up and customer serviceâ", Oct 8,19-Oct,"Fairless Hills, Pennsylvania",Fort Lauderdale - Philadelphia,First Class,3,1
59,Bad start for trip,"I planned these flights over 6 months in advance ,they changed the flight time by an hour and a half about six weeks before , ok not that bad . Then 6 hours before my flight they moved the times twice more , I had to go on line and change my connecting flight in the middle ofâ", Oct 8,19-Sep,pittsburgh pa,Pittsburgh - Fort Lauderdale,Economy,26,2
60,Less than great!,On the trip to Washington DC the flight attendant was anything but pleasant.  She also smelled very bad and it was nauseating.  The flight was short thanks goodness or else it could have been unbearable., Oct 8,19-Oct,Rochester,Providence - Washington DC,Economy,10,2
61,Friendly Service and On Time!,The flight attendants were very friendly (not my experience on every flight). The flight was on time too!, Oct 8,19-Sep,"Virginia Beach, Virginia",Providenciales - Charlotte,Economy,26,4
62,american air lines is back,    we have flown 3 times this year ...this is out of the ordinary for us..i prefer american lines myself.....my family doesnot..they prefer another air line..this other airlines does feel safe to me...also lack customer awareness..., Oct 8,19-May,"Orange Park, Florida",Jacksonville - New York City,Economy,4,5
63,Late again,"How many AA flights have I been late on? The same number that Iâ€™ve ever flown. I mainly fly Delta - almost always on time - and only AA if there are no other options. The company must be run by howler monkeys, considering the ongoing poor performance.", Oct 8,19-Oct,"Sherwood, Oregon",Phoenix - Portland,Economy,2,2
64,Great Flight,American Flights were ontime and very good. This trip rates up there with the best travel experience ever. Wish they were all this good., Oct 8,19-Sep,"Greenville, South Carolina",Charlotte - Albany,Economy,37,5
65,"Round trip codeshare with BA, painful experience","I certainly cannot fault the crew for the flight experience. They were engaging, helpful and professional. I just cannot understand why when we booked our flight 5 months in advance and selected aisle seats on the 777-200, when we checked in, we had center seats. Reviewing theâ", Oct 8,19-Oct,"Phoenix, Arizona",London - Phoenix,Economy,79,2
66,Late Flight,"The pilot did his best to get the plane turned around and ready to fly, so kudos for safely trying. However, we took off an hour an a half late, and things cascaded from there. Exiting the plane, clearing customs, rechecking bags, exiting the international terminal, riding theâ", Oct 8,19-Oct,"Atlanta, Georgia",Rome - Chicago,Economy,14,2
67,Inconvenient delays,"The service on the airline was excellent in business class and we have no complaints in this regard, in fact we were impressed with the service and food.  However, the delays in the flights were very inconvenient.  Our connecting flight from Chicago O'Hare to Dublin was delayedâ", Oct 8,19-Sep,"Pekin, Illinois",Peoria - Dublin,Business Class,606,3
68,Great flights with phone chargers and phone compartment!,Great flights and in flight service.  I loved having my phone hands free and the in seat charging port.  My only complaint was that our luggage was put on another flight and we had to wait over an hour to retrieve them.  After spending all day at the airport after my cruise andâ, Oct 8,19-Sep,"Snellville, Georgia",Atlanta - Miami,Economy,57,3
69,Why me?,"I have no issues with the airline.  I am paranoid about long haul travel. The passenger in front ALWAYS reclines their seat onto my nose.  This one was a record, less than 20 minutes into the flight, we left at 6.30pm.  The staff, as on the flight out, were able to find meâ", Oct 8,19-Sep,"Swaffham, United Kingdom",Raleigh - London,Economy,72,4
70,Flt - Memphis to Dallas Fort Worth,"Delayed flight, but at least we received information! A bit of time was made up which helped. Good work.", Oct 8,19-Oct,"Hampshire, United Kingdom",Memphis - Dallas,Economy,6,5
71,Flight Heathrow to Chicago - 10th Sept 2019,Very good flight. Fortunately I had booked a seat with extra legroom. Decent food. Regular drinks. Helpful staff. Well done American Airlines., Oct 8,19-Sep,"Hampshire, United Kingdom",London - Chicago,Economy,6,5
72,Kauai Second Honeymoon 30 years later,Since my husband surprised me with a trip to Kauai for our 30th anniversary I surprised him with a 1st class flight to get there. Traveling a great distance I would highly recommend 1st class. You get extra legroom and the seats are wider too. Priority boarding ensures you areâ, Oct 8,19-Sep,,Destin - Lihue,First Class,14,5
73,"Why not tell the truth, you overbooked","The morning of our flight the messages started, telling us that the weather was bad at Chicago airport and the flight might be heavily delayed or cancelled.  Would we like to cancel our flight and fly at another time?  Had we not been staying so close we might have believedâ", Oct 8,19-Sep,,Chicago - San Francisco,Economy,1,2
74,Overseas Trip,Premium economy is between regular and first class. They treat you like a king. Overnight flight was comfortable as more leg room and gave you a packet of supplies including toothpaste and toothbrush and eye masks and socks. Very nice. Great food and 2 choices and realâ, Oct 8,19-Sep,,Chicago - Warsaw,Premium Economy,6,4
75,Never again,"Gate agent in Philadelphia insisted that my wife's carry on bag be checked because there was no more room in the overhead bins, yet let people behind us board the plane with much bigger bags. This led to the agent grabbing the bag and getting in a tug of war with my wife.â", Oct 8,19-Oct,,Philadelphia - Fort Walton Beach,Economy,1,1
76,Extremely disappointing service,"I was boarding an American airline flight from Chicago to Seattle, and I had my carryon suitcase, a backpack, and a small purse the size of a wallet that was strapped around my body to carry my ID and boarding pass. Upon boarding, the attendants told me I had â€œ3 bags and neededâ", Oct 7,19-Oct,,Chicago - Seattle,Economy,1,1
77,Great Experience / Bad Timing,American Airlines does it right.  They have a great lounge and their customer service seems to be on point.  I love the international lounge and the amenities there.  I'm especially fond of the first-class seats allowing you to lie down during flight.  I arrived in Christchurchâ, Oct 7,19-Mar,"Noblesville, Indiana",Indianapolis - Auckland,First Class,60,5
78,So nice and friendly fly attendants,6 hours fly from NYC to SFO and did enjoy the in-flight entertainment  and had So Friendly Fly Attendants and Nice Meal, Oct 7,19-Sep,,New York City - San Francisco,Economy,7,5
79,Great service and product!,"I checked in easily for this flight via the American Airlines app. There was no wait at security, and I easily made my way to the Admirals Club prior to departure where I enjoyed a bit of relaxation and hydration.   I soon made my way to the gate, where boarding was easy. I wasâ", Oct 7,19-Oct,Colorado,Chicago - Dallas,First Class,509,5
80,Uneventful,Everything was okay for me . The flight took off on time. The service was great and I will continue to recommend this airline to everyone., Oct 7,19-Sep,,Miami - Atlanta,Economy,16,5
81,"American is one of the best airline.  Flight went very well, on time to Lisbon","As one of the best airline, I always travel with American.  Mostly, because it's always on time and I don't like to arrive late wherever I'm going.  The flight arrived earlier in Lisbon, very smooth, quiet.  From the airport checking, to baggage claim, everything went veryâ", Oct 7,19-Sep,"Miami Springs, Florida",Miami - Lisbon,Economy,16,4
82,Carry on should not have to be checked at gate,The flight from Mia to Msy was great.  Well organized and on time.  The flight from MSY however was late.  They were making you check your carry on at the gate and when I said there were fragile items in my carryon she said it had to be checked and they would not be responsibleâ, Oct 7,NA,"Key West, Florida",New Orleans - Miami,Economy,218,1
83,baggage scheme,just traveled from Europe to        u.s. and they made us check our overhead bags when we boarded the overheads were empty. the they made us do the same on our domestic flight. this is nothing but a sales driven ploy to get you to upgrade flight status so they make more money oâ, Oct 7,19-Oct,,Lisbon - Philadelphia,Economy,7,1
84,Pleasant flight with friendly flight attendants,Comfortable flight and the flight attendants were friendly.  We actually arrived in Florida 30 minutes early., Oct 7,19-Sep,"Granbury, Texas",Dallas - Fort Lauderdale,First Class,36,5
85,"Flight late, connecting flight in another terminal","My originating flight was delayed. The connecting flight in Dallas was in another terminal in Dallas. So I had to find the SkyLink, up the escalators, get on a train that took a circuitous route around the airport, go down the escalators with my luggage, walk a considerableâ", Oct 7,19-Sep,"Claremont, California",Dallas - New York City,Economy,133,2
86,Good flight,"Timely, efficient, fast boarding process. Aisles a bit tight, sat closer to the washroom and had my toes stepped on twice by persons lining up to use the toilet. The drinks cart also bumps into your elbow of you're not careful.", Oct 7,19-Oct,"San Fernando, Trinidad",Port of Spain - Miami,Economy,20,5
87,My flights to/from New Orleans outta DCA,"Nice flight...went quickly...no problems.. Gate attendant leaving New Orleans not very attentive, too busy talking to his friends then in helping people on flight. I just gave up...wheelchair request in Miami was ignored.", Oct 7,19-Sep,"Washington DC, District of Columbia",Washington DC - New Orleans,Economy,2,4
88,Investigate Theft PLEASE!!!,"My Nintendo switch was stolen off the plane by cabin crew, passenger or cleaning crew. I had left it on the seat (stupid) and when I realized it was gone, filed a lost and found report.   Since I never heard anything, I purchased a new switch. Upon logging in, I was able toâ", Oct 7,19-Oct,,Providence - Chicago,Economy,169,1
89,BEWARE when choosing seats,"I paid an extra $71 dollars for an upgraded seat at the time I booked my ticket.  Then, I went in to check my reservation and look at my seat assignment to make sure I was by my family, when I accidentally selected a seat at the back of the plane.  I did not notice this and wasâ", Oct 7,19-Oct,,Miami - Bridgetown,Premium Economy,1,1
90,Pleasant surprise,"It was my first flight with AA and having read some bad reviews, I was a little bit worried. I must admit that service, comfort on board and punctuality were above expectations. I travelled with my family and took 4 flights in 3 weeks: London-Los Angeles; Los Angeles-Cabo Sanâ", Oct 7,19-Aug,"Sondrio, Italy",London - Los Angeles,Economy,285,5
91,Very poor service,Paid for 1st class ticket. Get on plane and was very 1 seat. Had a laptop bag . There is very little over head storage. So the flight attendant took my bag to back of the plane and said she would bring it back when we landed . Well she forgot and I had to wait tell everyone onâ, Oct 7,19-Oct,"Raeford, North Carolina",Fayetteville - Charlotte,First Class,3,1
92,Grandsonâ€™sGraduation,"Except for TSA in Ontario,Ca., the flight was great. We left on time,arrived in Dallas about ten minutes ahead of schedule and hit Atlanta as expected. Staff was friendly,courteous and professional.", Oct 7,19-Sep,,Ontario - Atlanta,First Class,2,5
93,chicago,this was a comfortable flight  the stewardesses were nice and the flight was on time for all four legs.untill weather struck in Chicago and forced overnight stay. AA kept me informed about upcoming changes and all went well. CUSTOMER SERVICE WAS VETRY HELPFUL, Oct 7,19-Sep,"Yuma, Arizona",Yuma - Chicago,Premium Economy,28,5
94,Another flight on American,"I had heard horror stories about American and was unhappy when my daughter moved to Miami.  AA is your only direct flight choice.  But after a year, I have never once had even a minor disappointment when flying American and I fly at least once, often twice, a month, round trip. â", Oct 7,19-Sep,"Boston, Massachusetts",Boston - Miami,Premium Economy,210,5
95,Great comfort and service on an overnight flight,Our Business Class accommodations were clean and comfortable and the flight attendants couldn't do enough for us.  Very pleasant experience., Oct 7,19-Sep,"San Francisco, California",San Francisco - New York City,Business Class,17,4
96,"Good Flight, always on time","The one thing I like about American Airlines is how fast and efficient the whole flight and flight process is. They are rarely ever delayed and leave exactly on the dot. You barely spend any time waiting for the plane to take off or getting off the plane either, which otherâ", Oct 7,19-Sep,,New York City - Paris,Economy,2,4
97,Arizona Here We Come,"Plane was clean, service was excellent but the meal was not as good as expected, especially the dessert which was a chocolate chip cookie warmed up.  It was a gooey mess.", Oct 7,19-Oct,,Chicago - Phoenix,First Class,3,3
98,Very smooth trip,Better leg room than some other flights / no significant delays / free TV/movies with American Airlines app, Oct 7,19-Sep,,Wilkes-Barre - Los Angeles,Economy,2,4
99,Worst service,We flew first class from SFO to LAX with a connection to OKC and out flight was delayed two hours without any notice. We were not offered even access to the Admirals club in the regional terminal which was empty since it is the worse terminal of the airport. Even though we haveâ, Oct 7,19-Oct,Oklahoma,San Francisco - Los Angeles,First Class,59,1
100,Horrible as always,"Our first AA flight in 5 years due to previous bad experiences. Still awfulâ€”will not make this mistake again. Flight is now 7 hours late for no discernible reason. Staff is pleasant. Other couples we were traveling with flew Air Canada and left right on time, so itâ€™s not weatherâ", Oct 7,19-Oct,"Peoria, IL",Reykjavik - Dallas,Business Class,117,1
101,Not with the money,"I could not find any difference between first class and economy on both legs of this trip. Flew thru Philadelphia with horrible food and poor service. Only a bag of peanuts from Philadelphia to Halifax. Seats hardly reckoned, no power to charge computer. Time to update yourâ", Oct 7,19-Oct,"Sandringham, Australia",San Francisco - Halifax,First Class,47,1
102,Please Don't Fly American!,"While traveling to Tucson, AZ from Orlando, FL for a wedding and a sightseeing roadtrip, we had a layover in Dallas, TX. With almost an entire hour between flights, we were not concerned. However, we took forever to board the plane, circled the Dallas airport for 20 minutes, andâ", Oct 7,19-Sep,,Orlando - Tucson,Economy,1,1
103,Good Flight,"It was a good experience, nothing our of the ordinary. The captain was very informative, and cabin crew were friendly and accommodating.", Oct 7,19-Sep,"Los Angeles, California",Los Angeles - Denver,Economy,2,4
104,Mechanical breakdown,We were told our flight was on time and after checking out of the hotel and after returning our rental car and checking in our luggage we were waiting on a two hour delay before learning our flight was cancelled due to mechanical issues.  we understand things happen but whatâ, Oct 7,19-Sep,"new york, United States",Kailua-Kona - New York City,Economy,2,1
105,Never again will I fly,We where really pleased to be flying with them as weâ€™ve always had great service and nice staff not the case on this flight. Firstly the flight was delayed for nearly 4hrs with little explanation of why each time we asked we were told something different   We boarded the flightâ, Sep 2019,19-Sep,"Liverpool, United Kingdom",Manchester - New York City,Economy,12,1
106,Great experience,They upgraded me to First Class and it was a great experience. The meal was immaculate. The seat was very comfortable. The in-flight entertainment and WiFi was seamless. Strong signal and no buffering., Sep 2019,19-Sep,"Greensboro, North Carolina",New York City - Greensboro,First Class,7,5
