,titles,reviews,date_of_review,date_of_travel,locations,destinations,class,number_of_reviews,ratings
32,Flights to China and domestic flights,On the international flights to China and the domestic flights in and out of Chengdu we found China Southern very good and efficient. The meals were great and the staff friendly. Would fly them again., Sep 2019,19-Aug,,Auckland - Chengdu,Economy,2,4
33,Worst flight of my life,"I was flying home from Bangkok after two years living abroad in Asia. I contracted Salmonella in Thailand a few days before I had to get home. I was so sick on the plane and it was so uncomfortable, the seats not at all big enough to sleep somewhat comfortably, and I am very‚", Sep 2019,18-Oct,"Toronto, Canada",Bangkok - Toronto,Economy,136,1
34,Surprisingly great,I booked round trip from Auckland to Amsterdam with layover in Guangzhou. So in total 4 flights. As the first layover was over 18h (during daytime) I got a free hotel with buffet breakfast and transport. Hotel was great. Cannot complain. As for the flight itself food was quite‚, Sep 2019,19-Jul,"Auckland Central, New Zealand",Auckland - Amsterdam,Economy,54,5
35,International 50/50,Well from my last review when I returned to Melbourne China southern business class was great. But it was my out bound flight that was the issue this time. The plane was dated the service by staff was very ordinary. Lucky I had an empty seat next to me I just loaded up my used‚, Sep 2019,19-Aug,,Melbourne - Dalian,Business Class,74,4
36,Good flight option to CMB,"For our summer trip we initially booked with China Eastern, however their connection frequency changed for 3 times a week to once hence the total transit didnt work for us.  We then booked with China Southern and got a decent option. On our way to Colombo our stop over was‚", Aug 2019,NA,"Surrey, Canada",Vancouver - Colombo,Economy,33,4
37,Excellent Service in Business Class,"Highly recommended!  Seats The business class seat configuration on the Boeing 777 has a lot of variety and will likely suit the way you travel (alone, with colleagues, or with a child/spouse. If you‚Äôre travelling alone you can get an individual pod by the windows, and if you‚Äôre‚", Aug 2019,19-Aug,"Toronto, Canada",Toronto - Bangkok,Business Class,27,4
38,Seriously aiming to be biggest in the world?,Brief one: inflight service is adequate notwithstanding low English comprehension levels in some cases. Cabin crew generally amenable and hard working.  The food is simply below par. Very ordinary. Snack offered between the very basic and unappetizing meals was a bizarre soft‚, Aug 2019,19-Aug,,Paris - Christchurch,Economy,4,2
39,"Kind crew, uncomfortable seats for long flights though","The crew is very friendly and kind, they always try to make feel good and treat you well offering drinks, food and snacks. The seats are very uncomfortable, there is no much leg room special for average tall people like me. Other than that is a great experience", Aug 2019,19-Aug,"West Valley City, Utah",Mexico City - Bangkok,Economy,22,4
40,Here we go again,"Why, oh why do I keep doing this? Every time I say 'never again' and somehow...  This time it was through booking with KLM and the code-share came up for China Southern. Needless to say after a series of less-than-impressive flights I was cynical but it was a decent price and‚", Aug 2019,19-Aug,"Blackburn, United Kingdom",Beijing - Amsterdam,Economy,287,3
41,Impressed,"This 2 hour flight was a very good experience. The plane was modern, clean and comfortable.  Both airports were also modern and well organized.  All went smoothly from the pre-flight announcements to boarding through baggage reclaim.  A nice meal was served and on-board service‚", Aug 2019,19-Aug,"Cortez, Colorado",Beijing - Yanji,Economy,26,4
42,A trip with a few moments,"The outward flight from Auckland was a bit tight as we had travelled from Dunedin to link up with a special deal out of Auckland. Huge queue at check in which held things up but the desk staff were really helpful in hurrying us through , even gave us a ""companion seat"" to make‚", Aug 2019,19-Jun,"Auckland, New Zealand",Auckland - Kuala Lumpur,Economy,44,4
43,Amazing service,"Amazing flight , very Good service. We had a problem with our food and they brought us really a lot of different options.", Aug 2019,19-Aug,"Antwerp, Belgium",Amsterdam - Beijing,Economy,103,5
44,I love this airline,"I have flown with China Southern several times and have recommended it to many friends. My first time was a MNL-Vancouver flight that was really hassle free with stopover in Guangzou. This one also was hassle free, after our flight from Nepal. Guangzou airport security can be‚", Aug 2019,NA,"Baguio, Philippines",Guangzhou - Manila,Economy,293,5
45,Pleasant 2-hour flight,"Pleasant flight from Guangzhou (CAN) to Chengdu (CTU), in an aisle seat on an Airbus A321neo. Total in air time approximated two  hours. Flight attendants were friendly and could speak good English.", Aug 2019,19-Aug,"Yekaterinburg, Russia",Guangzhou - Chengdu,Economy,"56,581",4
46,Still has a way to go to get into top ranks,"China Southern Airlines (CZ) is the world's sixth-largest passenger carrier, and won the World‚Äôs Most Improved Airline Award in 2018. Regionally its ranking is improved, but it still has a long way to go to get to really good international standards. Skytrax rated it as No.14‚", Aug 2019,19-Aug,Laos,Vientiane - New York City,Economy,225,3
47,Definitely Deserves the Title of 4-Star Airline,"China Southern is considered a 4 star airline and I'd agree. Service, food, entertainment (movies and TV) were all very good. It's a very long flight and it was bearable.  We flew to Bali from JFK via Guangzhou, China.With a 12-hour layover we took the opportunity to take the‚", Aug 2019,19-Aug,"New York City, New York",New York City - Denpasar,Economy,36,4
48,Baggage trouble,"Really bad , baggage did not arrive at Delhi airport same time as my father landed there , he traveled 20 hours and staff at airport told that your baggage will come on next flight after another 15-20 hours ,", Aug 2019,19-Aug,,Christchurch - New Delhi,Economy,1,2
49,Ground services are good.,"No complain to the ground services, on-time schedule for the flight from Penang to Nairobi both ways. However, 3 stars is because the online system is too difficult to use especially you need to select seat and check in, requested multiple time of login and page navigation. And‚", Aug 2019,19-Aug,"Penang, Malaysia",Alpena - Nairobi,Economy,3,3
50,Surprise!,What a surprise! All the doom and gloom prophets proven wrong. This airline cannot be faulted for their flight experience. Price was excellent too. Only one draw-back: Communication before flight was really poor and we ended up going into their obscure office in Auckland to sort‚, Aug 2019,19-Mar,"Auckland, New Zealand",Auckland - Rome,Economy,35,4
51,WILL NEVER FLY AGAIN WITH THEM,"the connection flight rom hanoi, operated by china southern, was 2 hours late. they have been told to wait for us (15 people) before closing the gate for the flight to Rome.they picked us up and told us run to the gate...nobody assisted or guided us, we had to go through custom‚", Aug 2019,NA,"Rome, Italy",Puerto Maldonado - Hanoi,Economy,24,1
52,Okay,"The fly was in time, the crew was nice and helpful. But the food is nothing special, is not very good. The seats are not comfortable.", Aug 2019,19-Aug,"Bortigiadas, Italy",Brisbane - Rome,Economy,61,3
53,Great Flight experience,I had never flown with China Southern Airlines before and I was very anxious when the travel agent booked us this flight. We even asked the travel agent to change our flight and they said that it is booked and cannot be changed. The travel agency assured me that we will enjoy‚, Aug 2019,19-Jul,"Brisbane, Australia",Brisbane - New Delhi,Economy,9,5
54,Superb service and attention to detail.,"Great airline, great service and helpful staff. I would certainly not hesitate to travel with China Southern again.", Aug 2019,19-Jun,"Auckland Central, New Zealand",Auckland - Paris,Business Class,33,5
55,"Poor service all together. Flight delayed, no announcements on ground or on board. Poor communication. No English.",Most of all refused to take responsibility for the missed connection flight due to delay. It was the last time we flew with CSA., Aug 2019,19-Aug,,Shenzhen - Melbourne,Economy,1,2
56,Nice flight,"This is a very short flight, however, they still managed to serve a quick meal. The service is nice and flight was on time.", Aug 2019,19-May,"Ottawa, Canada",Shanghai - Seoul,Economy,5,5
57,Much better routing than Middle East,"Was very impressed with all aspects on the flight, service, time aboard and in transit with this airline. Guangzhou is a good hub and far easier to transit and enjoy than Dubai. Seats were comfortable, food enjoyable and service on ground and air very good. Huge baggage‚", Aug 2019,19-May,"Leigh-on Sea, United Kingdom",Melbourne - London,Economy,33,4
58,Regularly serving refreshments,"KLM operated by China Southern flight. As you usually feel dehydrated on a flight, the flight attendants came around every 30 min with water, which makes you feel way better after a 10-12 hour flight. The service was good all the way through. Not much space between the seats,‚", Aug 2019,19-Jul,,Sydney - Billund,Economy,49,4
59,Flight to New Zealand,"Flew business class to Auckland from London. Good flight well looked after. Food was not to my taste but managed. We had to stopover for 6 hours and were offered a small bedroom for a few hours in business lounge, clean and functional and appreciated. ", Aug 2019,18-Nov,"Edinburgh, United Kingdom",London - Auckland,Business Class,62,4
60,Recommend,"Its only a two hours flight from Guangzhou to Taiwan. After the five hours transitional waiting in the airport, we are glad that to have the  helpful and polite staffs. Comfort seats and enjoyable meals.", Aug 2019,NA,"Auckland, New Zealand",Guangzhou - Taipei,Economy,"1,765",4
61,Customer Services,"Its a 14 hours flight from Auckland to Guangzhou. We are lucky to have some lovely serving staffs wirh us. Lovely and helpful staffs. Comfort seat.  Entertainments with languages to choose from, even cartoon for children. Meals are also good enough. ", Aug 2019,NA,"Auckland, New Zealand",Auckland - Guangzhou,Economy,"1,765",4
62,"Good on the air and on land, ok online","I first flew this airline back in 2015 with no issues at all via a tour agency. This time around, I booked my flight online, however, the ticket was not issued due to an internal China Southern Airlines (CZ) problem. I communicated with them a few times via email with no‚", Aug 2019,19-Jul,"Riyadh, Saudi Arabia",Tokyo - Guangzhou,Economy,133,4
63,reduced facilities vs nice service,i fly a lot with CZ and on stretches longer than 2 hrs they provide inflight entertainment in business and premium offering an Ipad. Airplanes for domestic use on many routes are the small type and have no screens most of the time and there are no on board wifi options so the‚, Aug 2019,19-Aug,"Hong Kong, China",Shenyang - Guangzhou,Business Class,3,2
64,This was my first time with Cina Southern,"Very nice service on board the plain.Flight was full and the crew had there hands full,with some of the people .Clean plain,food ok (this is a cheap flight so for what I have paid I was looked after very well.)I do fly often and could not see much differents between more‚", Aug 2019,19-Jul,"Tauranga, New Zealand",Seoul - Auckland,Economy,62,4
65,Misleading website,"I booked tickets on their company website. I picked business class and the price seemed much better than other agents.  It turned out that the once you pick the outbound flight, the cabin class goes back to economy for the inbound flight.  Not knowing this trick, went through‚", Aug 2019,19-Aug,,Sydney - Zhengzhou,Business Class,1,1
66,Terrible experience - Ground staff and baggage handling,If you have a choice please do not use this airline. My daughter's bag arrived damaged and when she reported the damaged bag she was told that she could only get $ 40 dollars. This was a huge disappointment since the ground staff did not want to assist in any way. They only‚, Aug 2019,19-Jun,,Toronto - Ganzhou,Economy,3,1
67,What a wonderful flight experience,"This flight is truly memorable for me. We flew so close to Mount Everest! Though it was really cloudy, I had a glimpse. The plane was new with in-flight entertainment. Food was nice and the flight crew was friendly. So the 4 hour journey was really worth it. Would really fly‚", Aug 2019,NA,"Baguio, Philippines",Kathmandu - Guangzhou,Economy,293,5
68,Very good airline,"This was my 2nd time to try China Southern Airlines, one of the 35 different airlines that I have tried over the years. For the second time, I was really satisfied. From the ground crew, to the flight crew, everyone was really helpful and friendly. The seats were comfortable and‚", Aug 2019,NA,"Baguio, Philippines",Manila - Kathmandu,Economy,293,5
69,Bad experience,"First of all, the flight attendants can‚Äôt speak english. If you have any question, you‚Äôd be lucky if someone can help you. The flight has been delayed so many times we are now running 5 hours late and been waiting in the plane. Food is also mediocre, there is no vegetarian‚", Aug 2019,19-Aug,,Guangzhou - Toronto,Economy,1,2
70,Good airline,"They had a good one way price since i needed to go back to malaysia quickly. Flew London-Sanya-Guangzhou-Penang with overnight stop in Guangzhou. First flight was good, customs is done in Sanya so when u arrive in Guangzhou they take you straight to baggage claim - no need for‚", Aug 2019,19-Jul,"Temerloh, Malaysia",London - Penang,Economy,148,5
71,Good Airline,I had a hassle free and enjoyable experience.  I received an email with a link for check-in. No problem. Bag drop off at the airport went smoothly with staff being courteous and efficient.  The flight itself was a little bumpy at times and staff checked that seat belts were‚, Aug 2019,19-Jul,"Penrith, Australia",Sydney - Kathmandu,Economy,254,5
72,Nothing special,Just like any other fly plane ride. Sit and try to get some rest. Only thing I don‚Äôt like was the flight attendant wouldn‚Äôt let me keep my head set on during take off which I didn‚Äôt understand why., Aug 2019,19-Aug,"Peachtree City, Georgia",Dalian - Seoul,Business Class,449,4
73,Poor customer service,"Flight is good. Pretty wide leg room, comfortable. Buy customer service was terrible.  This was not our original booking. Our flight from Athens to Amsterdam with KLM was delayed thus we missed our connecting flight from Amsterdam to Jakarta. KLM booked us another airline, which‚", Aug 2019,19-Jun,"Jakarta, Indonesia",Amsterdam - Jakarta,Economy,68,1
74,Hard To Fault,Have just got back from China and on this trip flew with them for 27 hours internationally and also internally in China. The service and the courtesy you get is the same high quality standard on any given flight. Obviously the shorter the internal flight is the down sizing of‚, Aug 2019,19-Jul,,Auckland - Guangzhou,Economy,1,4
75,Excellent service during 46 hours of flight,We have chosen China Southern for our 4 flights to and from Auckland; in total 46 hours of flight. We bought 2 times an upgrade on board to business class for 600 usd each; well worth the money. The plane was packed with well behaved tourists from all around Europe and China and‚, Aug 2019,19-Feb,"Nottingham, United Kingdom",Amsterdam - Auckland,Economy,35,4
76,Always seem to be late,We used this airline plus the Eastern one and both times flights were delayed.  On our return journey we had such a delay we ended up missing our connections.  The airline did put us up in a lovely hotel for the evening but it caused us to miss train connections etc on the other‚, Aug 2019,18-Sep,,Melbourne - Beijing,Economy,16,3
77,Nice flight,"My flight had a delay of about 13 hours, but they gave me accommodation during the trip. The weak point for this company is most of their careers cannot talk in English, but they are very responsible, and they tried the best for my trip.", Aug 2019,19-May,,Tehran - Sydney,Economy,4,5
78,good economical airlines,"I got a great price for a trip from LAX to New Delhi.  The website was very easy to use, including meal selection and seat selection.  I would definitelhy use them again.", Aug 2019,19-Feb,"Encinitas, California",Los Angeles - New Delhi,Economy,30,4
79,China Southern One of the better airlines,"China Southern are great to fly with.......except for making changes to flights. To be honest I have flown with CSA a few times now and the checking in, boarding, flight times and the on board service is great. I'm a big guy 6'1""and I still find the seats comfortable and have‚", Aug 2019,19-May,"Brisbane, Australia",Brisbane - Guangzhou,Economy,3,4
80,Very very Organized,They use big planes and even in economy they serve a full meal with a drink in economy.  They even walked up and down the isles selling popcorn and the flight was only 1 1/2 hours long.  Could give North American Airlines some tips.  You did however have to take a bus out to the‚, Aug 2019,19-Apr,"London, Canada",Luoyang - Shanghai,Economy,140,5
81,Nothing Special,"Every Business Class seat is better than any Economy Class seat.  But China Southern sets the bottom limit for a seat and service that can still be called Business Class.  Average food, average amenities, average service.  Lousy connections through Guangzhou.  But that can be a‚", Aug 2019,18-Nov,"Beaverton, Oregon",Portland - Penang,Business Class,46,3
82,Never Again!,"I don't care how cheap the airfare is, I'm never flying with this airline again! I chose them so that I could fly directly in and out of Adelaide to/from Seoul without going via another Australian city. Getting to Seoul via Guangzhou was no problem, but on arriving at Incheon‚", Aug 2019,19-Aug,,Seoul - Adelaide,Economy,1,1
83,Good Flight excellent service but food Horrible !!!,Flight itself was excellent very modern flight  Staff right from check in to flight attandants very helpful. one extra plus point it shows your seat number on the screen so no confusion perfect for me lol.. Cons: ohhh no Food Really horrible.normally i love chinese food but the‚, Aug 2019,19-Jul,"London, United Kingdom",London - Denpasar,Economy,3,3
84,"Airline was okay ... but, oh, the security checks in China!","The flight itself was fine, in both directions: check-in was easy, took off on time, landed early, staff were friendly (though some with only basic English), food was okay (typical airline fare, mostly Chinese based), entertainment a bit limited & with permanent sub-titles (but‚", Aug 2019,19-Apr,"London, United Kingdom",London - Denpasar,Economy,33,4
85,If there was a 0 star I would press that,Horrible I wish we never choose this airline. We booked a premium class seat when we were booking it it said it was a huge plane with premium business first class and economy. But a few days after we were about to go it said it changed the airline and said there was only economy‚, Aug 2019,19-Jul,,San Jose - Guangzhou,Economy,1,1
86,Arrogant cabin staff,"The Amsterdam office were wonderful when an emergency back in Australia meant we had to change our return flights. However, the female flight attendants on the plane over were arrogant and unpleasant. Perhaps some more training required??", Aug 2019,18-Sep,,Perth - Amsterdam,Economy,1,3
87,Flight cancellation. Pointless complaint team and bad services.,"They said schedule flights 4 to 5 months early, then cancelled flights with just 4 days notice. There‚Äôs no way we can cancel the flight, get refund, change schedule and choose another one with such a short notice. The other two flights got cancelled as well, so we had to‚", Jul 2019,19-Jul,,Christchurch - Guilin,Economy,1,1
88,Terrible food and service,Great value for money airline as I didn't really receive any service and the food was probably the worst I've experienced on a plane. They cancelled my flight forcing me to stay overnight in China requiring a temporary visa that took hours to get on a trip to London. Will not‚, Jul 2019,NA,"Sydney, Australia",Sydney - Guangzhou,Economy,47,1
89,Airline cancelled flights not rescheduled properly and not informed me or agent,I booked ticket couple of months ago through an agent in Adelaide.  I was supposed to fly on  1 Dec from Adelaide to Guangzhou. (Airline cancelled it and moved it 2nd) Guangzhou to Lahore airline cancelled flights and not even informed us or even agent.  When my agent sent them‚, Jul 2019,19-Jul,,Adelaide - Lahore,Economy,1,1
90,"(1) My bag was lost and took 5 days for delivery; (2) transit time very limited at Guangzhou, (3) poor food",1. One of my bags did not arrive in Sydney and because I had onward travels next day I had to wait 5 datys until the bag was delivered to Canberra. 2. The standard and quantity of food was mediocre. 3. The frequency of in flight servioce of meals & refreshments was very limited‚, Jul 2019,19-Jun,"Sheffield, United Kingdom",Amsterdam - Sydney,Economy,5,1
91,Good experience,This was our 1st time travelling with China southern I found them to be  friendly and helpful. The airplane was clean and to the same standard as other long haul flights. The food was good. They gave plenty of drink.  I would definitely fly with them again. Unfortunately they do‚, Jul 2019,19-Jul,"Christchurch, New Zealand",London - Christchurch,Economy,7,4
92,Surprisingly Good Economy Class,"Hubby and I typically book Economy Select, or Business Class flights when the prices aren't outrageous. For this flight, the price difference was more than double for Economy Select compared to the basic price, so we opted for the basic fare. But I was pleasantly surprised at‚", Jul 2019,19-Jul,Florida,Beijing - Guangzhou,Economy,"7,418",5
93,Transit in Guangzhou,Transit through Guangzhou  When you leave the plane you head for passport control- there are very clearly marked signs in English everywhere. Most people will be going straight ahead right or left but for those doing a short transit there is a sign off to the left just before‚, Jul 2019,19-Jun,"Grimsby, United Kingdom",London - Nha Trang,Economy,30,5
94,A great value for a good experience ,"We checked into our flight at SFO with Kate and she started us off on the right note. Was wonderful, polite and so helpful!  She asked us if we wanted to pay an additional $90 for bulkhead and since it was a 12 hour flight we did it!   Totally worth it bc our flight was‚", Jul 2019,19-Jul,"San Jose, California",San Francisco - Kota Kinabalu,Economy,108,5
95,Book Directly With Them,I booked my flight using an app that scans the lowest fairs. Normally it books directly with the airline. This time it went through a travel agency (that I wasn't made aware of until after I paid for the tickets). The airline itself is fine. They serve ample meals and beverages.‚, Jul 2019,NA,,Los Angeles - Phuket,Economy,11,3
96,Excellent Chinese carrier ,"It was a totally enjoyable flight. The lounge food offerings were disappointing, but the flight experience excellent. The food on the plane was very good. The cabin service staff wee friendly and spoke good English, and one even spoke great Russian. ", Jul 2019,19-Jul,"Toronto, Canada",Beijing - Shanghai,Economy,"1,206",4
97,Nice flight in economy aisle seat 43C.,"My seat on Southern Airlines flight 3907, on an Airbus A330, was adequately roomy and comfortable. They served a meal on the appropriate 2 hour flight from Beijing gate to Shanghai bus, and bus to Shanghai terminal. I had the chicken with noodles. The noodles tasted like regular‚", Jul 2019,19-Jul,"Yekaterinburg, Russia",Beijing - Shanghai,Economy,"56,581",4
98,Delicious airline foods!,"The FAs are not smiling much.  I asked for a blanket but they did not give me one...  In my opinion, the flight was ok because of the food.  I love all the foods they served except for the too little volume of drink, whether it be water or juice.  But I commend all the foods‚", Jul 2019,19-Jul,"Cavite City, Philippines",Manila - Guangzhou,Economy,3,4
99,Mediocre at best,"The flight was full, the food was bad, I was even served as a side dish  what looked like a cold cut slice which had black mold on it. Yuck... literally went for 10 hours without seeing an attendant. The best part of the flight was the movies.", Jul 2019,19-Jul,"Anna Maria, Florida",Los Angeles - Guangzhou,Economy,26,2
100,Low price and very good value,Tried out China Southern a few years ago as they offered the cheapest travel from London to New Zealand.  No Chinese Visa was needed for transiting China .  Was very pleased with the deal we received., Jul 2019,18-Dec,Weymouth,London - Auckland,Economy,34,5
101,You get what you pay for,"You get what you pay for with this airline which is...not much. We‚Äôve taken China Sourhern a few times and we almost always get separated even though we book together. It‚Äôs annoying. The food is terrible and the drink options are limited, even on international flights (white/red‚", Jul 2019,19-Jul,"Beijing, China",Beijing - Siem Reap,Economy,83,2
